Field,ID,Type (类型),default,zh-cn,zh-Hant,en,en-us,fr,ru,ja,de,pt-br,es,it,nl,cs,uk,sv,id
Description,2,文本,Simple Melody Player manages local music files based on the UI of Groove Music.,个人开发的一个免费无广告的管理本地音乐的音乐播放器，有问题和需求欢迎通过播放器内部进行反馈。,個人開發的一個免費無廣告的管理本機音樂的音樂播放器，有問題和需求歡迎透過播放器內部進行回饋。,"Simple Melody Player manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.","Simple Melody Player manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.","Un lecteur de musique gratuit et sans publicité, développé personnellement pour gérer la musique locale. Les problèmes et demandes peuvent être envoyés depuis le lecteur.","Бесплатный музыкальный плеер без рекламы, разработанный лично для управления локальной музыкой. О проблемах и пожеланиях можно сообщить внутри плеера.",個人開発の無料・広告なしのローカル音楽管理プレーヤーです。問題や要望はプレーヤー内からフィードバックできます。,"Ein privat entwickelter, kostenloser und werbefreier Musikplayer zum Verwalten lokaler Musik. Probleme und Wünsche können direkt im Player gemeldet werden.","Um player de música gratuito e sem anúncios, desenvolvido individualmente para gerenciar músicas locais. Problemas e solicitações podem ser enviados pelo próprio player.","Un reproductor de música gratuito y sin anuncios, desarrollado personalmente para gestionar música local. Puedes enviar problemas y solicitudes desde el reproductor.","Un lettore musicale gratuito e senza pubblicità, sviluppato personalmente per gestire la musica locale. Problemi e richieste possono essere inviati dall’interno del lettore.","Een gratis muziekspeler zonder advertenties, persoonlijk ontwikkeld voor het beheren van lokale muziek. Problemen en verzoeken kunnen vanuit de speler worden verzonden.","Bezplatný hudební přehrávač bez reklam, osobně vyvinutý pro správu místní hudby. Problémy a požadavky můžete odeslat přímo v přehrávači.","Безкоштовний музичний плеєр без реклами, розроблений особисто для керування локальною музикою. Про проблеми та побажання можна повідомити всередині плеєра.","En gratis musikspelare utan annonser, personligt utvecklad för att hantera lokal musik. Problem och önskemål kan skickas inifrån spelaren.","Pemutar musik gratis tanpa iklan, dikembangkan secara pribadi untuk mengelola musik lokal. Masalah dan permintaan dapat dikirim dari dalam pemutar."
ReleaseNotes,3,文本,,1. 见设置界面的更新日志,1. 請參見設定頁面的更新日誌,1. See Release Logs in the settings page,1. See Release Logs in the settings page,1. Consultez le journal des mises à jour dans les paramètres,1. См. журнал обновлений на странице настроек,1. 設定画面の更新ログを参照してください,1. Siehe Änderungsprotokoll auf der Einstellungsseite,1. Veja o registro de atualizações na página de configurações,1. Consulta el registro de actualizaciones en la página de configuración,1. Consulta il registro degli aggiornamenti nella pagina delle impostazioni,1. Bekijk het update-overzicht op de instellingenpagina,1. Viz protokol aktualizací na stránce nastavení,1. Дивіться журнал оновлень на сторінці налаштувань,1. Se uppdateringsloggen på inställningssidan,1. Lihat log pembaruan di halaman pengaturan
Title,4,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
ShortTitle,5,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
SortTitle,6,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
VoiceTitle,7,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
ShortDescription,8,文本,A local music player.,一个免费的本地音乐播放器。,一個免費的本機音樂播放器。,A simple local music player.,A local music player.,Un lecteur de musique local gratuit.,Бесплатный локальный музыкальный плеер.,無料のローカル音楽プレーヤー。,Ein kostenloser lokaler Musikplayer.,Um player de música local gratuito.,Un reproductor de música local gratuito.,Un lettore musicale locale gratuito.,Een gratis lokale muziekspeler.,Bezplatný místní hudební přehrávač.,Безкоштовний локальний музичний плеєр.,En gratis lokal musikspelare.,Pemutar musik lokal gratis.
DevStudio,9,文本,,,,,,,,,,,,,,,,,
CopyrightTrademarkInformation,12,文本,,,,,,,,,,,,,,,,,
AdditionalLicenseTerms,13,文本,,,,,,,,,,,,,,,,,
